Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
CAI,,,0.365595,82,81,163,0.276423,0.00157,8,0.339807,0.381511,0.00489,152,151,303,6
CBQ,,,0.003562,2,2,4,1,0.000097,10,0.242723,0.257018,0,2,2,4,4
ENU,,,0.006854,3,3,6,1,0.000122,10,0.25241,0.269504,0,3,3,6,4
FRA,,,1,238,239,477,0.145197,0.003857,8,0.398937,0.454955,0.051,493,497,990,1
GMO,,,0.001016,1,1,2,0,0.000075,10,0.229198,0.240067,0,1,1,2,4
IBA,,,0.001016,1,1,2,0,0.000075,10,0.229198,0.240067,0,1,1,2,4
ILR,,,0.001016,1,1,2,0,0.000075,10,0.229198,0.240067,0,1,1,2,4
KAN,,,0.028075,7,7,14,0.589286,0.000187,9,0.267316,0.28625,0.000013,7,7,14,6
LHR,,,0.840023,171,171,342,0.21362,0.002904,8,0.394832,0.444146,0.038385,524,527,1051,8
NDJ,,,0.025859,9,9,18,0.378788,0.000269,9,0.29042,0.313693,0.000457,10,9,19,4
NIM,,,0.040303,9,8,17,0.625,0.000234,9,0.287747,0.309616,0.000023,17,17,34,4
PHC,,,0.003562,2,2,4,1,0.000097,10,0.242723,0.257018,0,8,8,16,4
QOW,,,0.003562,2,2,4,1,0.000097,10,0.242723,0.257018,0,2,2,4,4
QRW,,,0.003562,2,2,4,1,0.000097,10,0.242723,0.257018,0,2,2,4,4
SKO,,,0.001016,1,1,2,0,0.000075,10,0.229198,0.240067,0,1,1,2,4
SSG,,,0.024739,9,8,17,0.527778,0.000257,9,0.278699,0.299657,0.000208,14,14,28,4
YOL,,,0.001016,1,1,2,0,0.000075,10,0.229198,0.240067,0,1,1,2,4
ABX,,,0.004571,2,2,4,1,0.000103,10,0.253471,0.268589,0,4,4,8,7
MEL,,,0.11409,54,55,109,0.194613,0.001787,9,0.322325,0.355211,0.007798,132,137,269,7
SYD,,,0.14863,83,85,168,0.112465,0.003125,9,0.338614,0.37724,0.03261,202,208,410,7
ABY,,,0.00862,1,1,2,0,0.000063,10,0.26664,0.285093,0,4,4,8,8
ABZ,,,0.138909,29,29,58,0.270936,0.000547,8,0.301572,0.328713,0.001307,41,41,82,1
BGO,,,0.222422,49,49,98,0.326956,0.000877,8,0.306693,0.338955,0.002429,68,69,137,1
BHD,,,0.081489,18,18,36,0.51634,0.000287,9,0.29012,0.314052,0.000017,21,21,42,1
BHX,,,0.377858,81,81,162,0.268519,0.001173,8,0.321069,0.358204,0.001269,131,133,264,1
BRS,,,0.338484,72,73,145,0.293569,0.000982,8,0.305086,0.338784,0.000693,100,100,200,1
