year,Source,Target,numberacquisitions
2001,611,561,1
2001,561,484,1
2001,448,453,1
2001,522,524,22
2001,423,221,2
2001,711,334,1
2001,621,325,5
2001,722,424,1
2001,237,221,1
2001,334,314,1
2001,511,424,2
2001,511,611,6
2001,517,454,1
2001,337,333,1
2001,523,721,10
2001,238,221,2
2001,722,441,1
2001,446,445,1
2001,336,334,11
2001,541,453,1
2001,322,334,1
2001,324,326,1
2001,453,453,14
2001,423,324,1
2001,325,322,5
2001,337,531,1
2001,333,325,4
2001,315,561,1
2001,523,481,3
2001,486,541,1
2001,491,541,1
2001,517,611,1
2001,512,334,3
2001,441,811,1
2001,813,813,4
2001,315,339,2
2001,522,313,1
2001,523,532,4
2001,541,451,1
2001,551,522,19
2001,325,611,1
2001,523,525,33
2001,325,621,6
2001,221,213,2
2001,453,424,2
2001,523,323,6
2001,325,221,1
2001,441,493,2
2001,326,334,3
2001,336,326,1
2001,331,333,1
2001,237,517,1
2001,424,444,2
2001,451,339,1
2001,531,212,1
2001,336,335,1
2001,522,532,5
2001,524,531,2
2001,336,561,4
2001,221,333,7
2001,424,323,1
2001,441,333,1
2001,512,517,3
2001,424,445,5
2001,621,561,2
2001,722,541,1
2001,523,924,1
2001,327,339,1
2001,221,541,6
2001,511,325,2
2001,811,334,1
2001,518,518,8
2001,531,525,4
2001,325,211,2
2001,519,517,1
2001,445,424,2
2001,325,523,8
2001,523,441,6
2001,511,523,1
2001,523,523,141
2001,713,334,2
2001,333,532,5
2001,522,813,1
2001,336,212,1
2001,561,238,1
2001,517,541,10
2001,451,451,4
2001,333,446,1
2001,322,113,1
2001,515,454,1
2001,488,561,1
2001,334,713,1
2001,518,541,6
2001,332,561,1
2001,541,238,1
2001,515,517,5
2001,722,561,1
2001,334,624,1
2001,541,531,1
2001,524,532,1
2001,322,313,1
2001,221,924,1
2001,561,453,4
2001,334,327,2
2001,446,325,1
2001,423,517,3
2001,211,212,2
2001,813,561,2
2001,517,326,2
2001,541,339,2
2001,324,324,8
2001,237,334,1
2001,492,488,2
2001,523,622,4
2001,212,331,1
2001,237,212,2
2001,333,453,1
2001,333,326,3
2001,711,711,7
2001,326,325,5
2001,541,485,1
2001,452,532,1
2001,927,531,1
2001,339,326,1
2001,211,334,2
2001,532,522,1
2001,622,622,24
2001,523,332,12
2001,517,493,1
2001,221,325,1
2001,524,333,1
2001,237,324,1
2001,519,561,2
2001,525,561,2
2001,523,444,2
2001,322,523,1
2001,335,333,3
2001,334,541,104
2001,424,541,1
2001,522,521,2
2001,453,561,4
2001,325,339,5
2001,334,238,3
2001,517,332,1
2001,311,321,1
2001,623,531,1
2001,511,323,3
2001,237,333,1
2001,334,211,2
2001,211,324,4
2001,722,722,27
2001,541,484,2
2001,523,515,10
2001,221,322,1
2001,327,336,1
2001,325,212,2
2001,561,483,2
2001,541,325,8
2001,524,541,12
2001,484,812,1
2001,212,484,1
2001,517,238,1
2001,622,621,10
2001,325,454,1
2001,326,331,1
2001,523,315,8
2001,713,512,1
2001,452,453,3
2001,423,326,1
2001,337,453,1
2001,111,312,1
2001,321,321,3
2001,525,335,1
2001,561,211,1
2001,326,541,1
2001,511,533,1
2001,721,711,2
2001,551,523,2
2001,336,524,1
2001,334,325,7
2001,711,541,2
2001,238,334,3
2001,711,713,2
2001,322,332,1
2001,551,524,1
2001,551,334,2
2001,927,561,1
2001,213,339,1
2001,522,518,2
2001,454,517,2
2001,541,518,8
2001,483,532,2
2001,517,561,10
2001,531,441,1
2001,424,315,2
2001,336,453,2
2001,325,493,1
2001,237,423,1
2001,621,621,55
2001,519,541,4
2001,523,334,90
2001,721,334,1
